name,mm_x,mm_y,um_x,um_y
E11-59_1A_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-59_1B_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-59_1D_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-59_1F_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E20-18_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-18_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-18_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-18_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-106_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-106_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-106_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-106_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-98_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-98_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-98_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-98_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-55_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-55_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-55_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-55_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-56_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-56_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-56_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-56_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-63_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-63_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-63_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-63_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-71_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-71_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-71_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-71_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-72_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
